Tm,NAME,CITY,STATE,START,LEAGUE,Exact,Latitude,Longitude,Altitude
LAA,Angel Stadium of Anaheim,Anaheim,CA,19660419,AL,Y,33.80029,-117.882685,154
ATL,SunTrust Park,Atlanta,GA,20170414,NL,Y,33.89127,-84.4681,981
BAL,Oriole Park at Camden Yards,Baltimore,MD,19920406,AL,Y,39.283944,-76.621572,35
BOS,Fenway Park,Boston,MA,19120420,AL,Y,42.346561,-71.097337,16
CHC,Wrigley Field,Chicago,IL,19140423,NL,Y,41.948314,-87.655397,599
CHW,Guarantee Rate Park,Chicago,IL,19910418,AL,Y,41.829892,-87.633703,594
CIN,Great American Ballpark,Cincinnati,OH,20030331,NL,Y,39.097213,-84.506483,489
CLE,Progressive Field,Cleveland,OH,19940404,AL,Y,41.496005,-81.685326,673
COL,Coors Field,Denver,CO,19950426,NL,Y,39.756175,-104.99413,5197
DET,Comerica Park,Detroit,MI,20000411,AL,Y,42.339063,-83.048627,602
HOU,Minute Maid Park,Houston,TX,20000407,AL,Y,29.757041,-95.355429,20
KCR,Kauffman Stadium,Kansas City,MO,19730410,AL,Y,39.051604,-94.480149,886
LAD,Dodger Stadium,Los Angeles,CA,19620410,NL,Y,34.073878,-118.239951,501
MIA,Marlins Park,Miami,FL,20120404,NL,Y,25.778165,-80.219541,6
MIL,Miller Park,Milwaukee,WI,20010406,NL,Y,43.028232,-87.970966,602
MIN,Target Field,Minneapolis,MN,20100412,AL,Y,44.981749,-93.278026,840
NYM,Citi Field,New York,NY,20090413,NL,Y,40.757134,-73.84584,13
NYY,New Yankee Stadium,New York,NY,20090416,AL,Y,40.829586,-73.926413,11
OAK,Oakland-Alameda County Coliseum,Oakland,CA,19680417,AL,Y,37.751619,-122.200451,0
PHI,Citizens Bank Park,Philadelphia,PA,20040412,NL,Y,39.906109,-75.166485,19
ARI,Chase Field,Phoenix,AZ,19980331,NL,Y,33.44542,-112.066793,1059
PIT,PNC Park,Pittsburgh,PA,20010409,NL,Y,40.446835,-80.005683,724
SDP,Petco Park,San Diego,CA,20040408,NL,Y,32.70753,-117.157056,14
SEA,T-Mobile Park,Seattle,WA,19990715,AL,Y,47.591443,-122.332283,17
SFG,Oracle Park,San Francisco,CA,20000411,NL,Y,37.778324,-122.389221,8
STL,Busch Stadium III,St. Louis,MO,20060410,NL,Y,38.622622,-90.192841,438
TBR,Tropicana Field,St. Petersburg,FL,19980331,AL,Y,27.768254,-82.653431,41
TOR,Rogers Centre,Toronto,ONT,19890605,AL,Y,43.641256,-79.389054,268
TEX,Globe Life Park,Arlington,TX,19940401,AL,Y,32.75132,-97.0842,278
WSN,Nationals Park,Washington,DC,20080330,NL,Y,38.872987,-77.007435,23
,,,,,,,,,
,,,,,,,,,
