Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,ISO
2022,LAA,1656,5977,5423,1265,825,219,31,190,623,600,449,28,1539,54,25,25,95,77,27,0.23326572,0.29709293,0.39018993,0.68728286,0.15692421
2022,BAL,1598,6049,5429,1281,810,275,25,171,674,639,476,10,1390,83,43,12,95,95,31,0.23595506,0.30509037,0.39031129,0.69540166,0.15435623
2022,BOS,1604,6144,5539,1427,908,352,12,155,735,704,478,23,1373,63,49,13,131,52,20,0.25762773,0.32109643,0.40946019,0.73055662,0.15183246
2022,CHW,1610,6123,5611,1435,1005,272,9,149,686,654,388,9,1269,73,35,16,127,58,10,0.25574764,0.3104634,0.38709677,0.69756017,0.13134913
2022,CLE,1620,6163,5558,1410,979,273,31,127,698,662,450,36,1122,81,52,22,115,119,27,0.25368838,0.3160723,0.38251169,0.69858399,0.12882331
2022,DET,1594,5870,5378,1240,868,235,27,110,557,530,380,8,1413,58,44,10,108,47,24,0.23056898,0.28634812,0.34566753,0.63201565,0.11509855
2022,KCR,1614,6010,5437,1327,904,247,38,138,640,613,460,7,1287,48,44,20,101,104,34,0.24406842,0.30639506,0.37962111,0.68601617,0.13555269
2022,MIN,1663,6113,5476,1356,891,269,18,178,696,668,518,11,1353,62,46,10,133,38,17,0.247626,0.31727303,0.40084003,0.71811306,0.15321403
2022,NYY,1610,6172,5422,1308,821,225,8,254,807,764,620,36,1391,70,41,14,121,102,33,0.2412394,0.32471965,0.42622648,0.75094613,0.18498708
2022,OAK,1670,5863,5314,1147,746,249,15,137,568,537,433,7,1389,59,33,22,109,78,23,0.21584494,0.28069875,0.34569063,0.62638938,0.12984569
2022,SEA,1649,6116,5375,1236,791,229,19,197,690,663,596,17,1397,89,45,9,120,83,27,0.22995349,0.31466011,0.3895814,0.70424151,0.15962791
2022,TBR,1628,6008,5412,1294,842,296,17,139,666,634,500,13,1395,57,31,7,93,95,37,0.2390983,0.3085,0.37712491,0.68562491,0.13802661
2022,TEX,1640,6029,5478,1308,866,224,20,198,707,670,456,12,1446,47,38,10,82,128,41,0.23877327,0.30088054,0.39539978,0.69628032,0.15662651
2022,TOR,1617,6158,5555,1464,945,307,12,200,775,756,500,13,1242,55,33,8,136,67,35,0.26354635,0.32866678,0.43114311,0.75980989,0.16759676
2022,ARI,1652,6026,5351,1232,773,262,24,173,702,658,531,14,1341,60,50,31,97,104,29,0.23023734,0.30423899,0.38516165,0.68940064,0.15492431
2022,ATL,1525,6082,5509,1394,842,298,11,243,789,753,470,13,1498,66,36,1,103,87,31,0.25304048,0.31738201,0.44345616,0.76083817,0.19041568
2022,CHC,1659,6072,5425,1293,838,265,31,159,657,620,507,16,1448,84,36,19,130,111,37,0.23834101,0.31130205,0.38654378,0.69784583,0.14820277
2022,CIN,1633,5977,5380,1264,855,235,18,156,648,618,452,6,1430,92,33,12,127,58,33,0.23494424,0.30350848,0.37230483,0.67581331,0.13736059
2022,COL,1550,6105,5540,1408,945,280,34,149,698,669,453,10,1330,61,40,10,139,45,20,0.25415162,0.31539219,0.39765343,0.71304562,0.14350181
2022,MIA,1629,5949,5395,1241,829,248,20,144,586,554,436,6,1429,70,36,4,120,122,29,0.2300278,0.29425636,0.36348471,0.65774107,0.13345691
2022,HOU,1588,6054,5409,1341,830,284,13,214,737,715,528,18,1179,60,42,9,118,83,22,0.24792013,0.31942375,0.42392309,0.74334684,0.17600296
2022,LAD,1597,6247,5526,1418,850,325,31,212,847,812,607,22,1374,56,53,3,85,98,18,0.25660514,0.33338674,0.44173,0.77511674,0.18512486
2022,MIL,1621,6122,5417,1271,784,251,17,219,725,703,577,25,1464,80,37,11,117,96,30,0.23463171,0.31549665,0.40852871,0.72402536,0.173897
2022,WSN,1563,5998,5434,1351,943,252,20,136,603,579,442,12,1221,60,37,20,140,75,31,0.2486198,0.31022937,0.37743835,0.68766772,0.12881855
2022,NYM,1623,6176,5489,1422,952,272,27,171,772,735,510,25,1217,112,44,20,122,62,22,0.25906358,0.33208773,0.41191474,0.74400247,0.15285116
2022,PHI,1605,6077,5496,1392,903,255,29,205,747,719,478,15,1363,52,44,6,116,105,28,0.25327511,0.31663921,0.42212518,0.73876439,0.16885007
2022,PIT,1636,5912,5331,1186,778,221,29,158,591,555,476,14,1497,54,32,19,96,89,32,0.22247233,0.29119294,0.36372163,0.65491457,0.1412493
2022,STL,1664,6165,5496,1386,878,290,21,197,772,739,537,11,1226,80,45,5,112,95,25,0.25218341,0.32526794,0.42012373,0.74539167,0.16794032
2022,SDP,1628,6175,5468,1317,871,275,18,153,705,682,574,24,1327,65,46,17,95,49,22,0.24085589,0.31789371,0.3816752,0.69956891,0.14081931
2022,SFG,1775,6116,5392,1261,805,255,18,183,716,683,571,14,1462,95,53,6,109,64,16,0.23386499,0.31533301,0.38965134,0.70498435,0.15578635
