Season,Tm,G_LHP,PA_LHP,AB_LHP,H_LHP,1B_LHP,2B_LHP,3B_LHP,HR_LHP,R_LHP,RBI_LHP,BB_LHP,IBB_LHP,SO_LHP,HBP_LHP,SF_LHP,SH_LHP,GDP_LHP,SB_LHP,CS_LHP,AVG_LHP
2022,LAA,910,1843,1670,377,255,59,9,54,172,163,140,5,436,12,10,11,34,14,5,0.2257485
2022,BAL,870,1710,1541,345,226,65,8,46,154,147,138,2,431,24,5,1,23,20,8,0.2238806
2022,BOS,865,1547,1378,365,232,89,3,41,211,200,140,5,370,14,10,4,30,6,5,0.26487663
2022,CHW,718,1343,1212,329,219,68,2,40,167,158,113,4,271,10,6,2,35,8,1,0.27145215
2022,CLE,818,1579,1424,341,248,64,3,26,155,147,111,10,327,24,13,7,38,27,9,0.23946629
2022,DET,782,1532,1405,371,260,77,6,28,175,170,101,5,340,8,15,3,30,7,2,0.26405694
2022,KCR,840,1570,1408,359,236,75,13,35,192,183,124,3,314,18,13,7,27,13,9,0.25497159
2022,MIN,890,1721,1539,370,239,78,6,47,180,174,145,3,375,17,15,5,41,13,4,0.24041585
2022,NYY,790,1549,1351,328,200,58,3,67,215,205,162,11,350,17,9,7,33,12,6,0.24278312
2022,OAK,784,1532,1381,304,197,69,3,35,167,155,117,2,345,16,12,6,23,18,9,0.22013034
2022,SEA,933,1778,1540,359,231,71,7,50,209,196,190,7,410,28,16,3,38,26,9,0.23311688
2022,TBR,821,1428,1298,332,223,74,4,31,169,162,114,4,296,10,5,1,26,22,6,0.25577812
2022,TEX,890,1810,1632,402,249,75,6,72,226,219,146,3,417,20,9,3,24,38,18,0.24632353
2022,TOR,709,1239,1112,284,180,60,2,42,156,153,109,7,246,11,6,1,24,7,6,0.25539568
2022,ARI,896,1690,1527,347,225,76,7,39,181,166,129,4,392,15,9,7,35,21,7,0.22724296
2022,ATL,740,1638,1464,388,238,91,6,53,208,193,153,3,382,12,8,1,34,23,7,0.26502732
2022,CHC,810,1502,1343,314,192,68,10,44,159,149,118,4,359,23,9,9,36,24,8,0.23380491
2022,CIN,819,1598,1424,351,233,73,3,42,178,174,131,0,386,32,5,4,28,15,10,0.24648876
2022,COL,879,1964,1793,491,314,107,17,53,266,255,136,5,397,18,15,2,46,13,3,0.27384272
2022,MIA,709,1316,1195,249,168,52,0,29,114,109,92,4,364,16,7,3,19,23,5,0.2083682
2022,HOU,888,1849,1655,432,260,98,2,72,242,237,162,1,321,13,12,4,31,17,7,0.26102719
2022,LAD,931,1738,1553,391,236,90,8,57,235,227,157,7,398,15,12,1,19,17,3,0.25177077
2022,MIL,898,1709,1504,334,219,63,4,48,165,156,162,4,440,31,8,4,29,17,11,0.22207447
2022,WSN,935,1947,1757,430,300,82,9,39,210,200,148,3,397,19,13,9,47,19,13,0.24473534
2022,NYM,939,1900,1686,414,273,83,6,52,225,207,164,8,377,32,11,7,37,12,8,0.2455516
2022,PHI,873,1749,1555,413,262,91,11,49,207,198,156,3,399,18,15,4,36,25,6,0.26559486
2022,PIT,938,1878,1715,377,243,71,8,55,186,178,129,5,495,18,8,8,36,18,6,0.21982507
2022,STL,751,1363,1201,316,186,70,7,53,189,183,132,5,271,19,9,1,28,22,4,0.26311407
2022,SDP,927,1867,1659,407,278,73,8,48,205,199,166,6,381,21,14,7,30,16,9,0.24532851
2022,SFG,1022,1932,1710,406,261,71,5,69,248,242,170,4,479,33,16,3,31,20,6,0.2374269
