Season_x,Tm,G_RHP,PA_RHP,AB_RHP,H_RHP,1B_RHP,2B_RHP,3B_RHP,HR_RHP,R_RHP,RBI_RHP,BB_RHP,IBB_RHP,SO_RHP,HBP_RHP,SF_RHP,SH_RHP,GDP_RHP,SB_RHP,CS_RHP,AVG_RHP,Season_y,G_LHP,PA_LHP,AB_LHP,H_LHP,1B_LHP,2B_LHP,3B_LHP,HR_LHP,R_LHP,RBI_LHP,BB_LHP,IBB_LHP,SO_LHP,HBP_LHP,SF_LHP,SH_LHP,GDP_LHP,SB_LHP,CS_LHP,AVG_LHP,Season,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,ISO,NAME,CITY,STATE,START,LEAGUE,Exact,Latitude,Longitude,Altitude
2022.0,LAA,1488.0,4134.0,3753.0,888.0,570.0,160.0,22.0,136.0,451.0,437.0,309.0,23.0,1103.0,42.0,15.0,14.0,61.0,63.0,22.0,0.23661071,2022.0,910.0,1843.0,1670.0,377.0,255.0,59.0,9.0,54.0,172.0,163.0,140.0,5.0,436.0,12.0,10.0,11.0,34.0,14.0,5.0,0.2257485,2022.0,1656.0,5977.0,5423.0,1265.0,825.0,219.0,31.0,190.0,623.0,600.0,449.0,28.0,1539.0,54.0,25.0,25.0,95.0,77.0,27.0,0.23326572,0.29709293,0.39018993,0.68728286,0.15692421,Angel Stadium of Anaheim,Anaheim,CA,19660419.0,AL,Y,33.80029,-117.882685,154.0
2022.0,ATL,1448.0,4444.0,4045.0,1006.0,604.0,207.0,5.0,190.0,581.0,560.0,317.0,10.0,1116.0,54.0,28.0,0.0,69.0,64.0,24.0,0.2487021,2022.0,740.0,1638.0,1464.0,388.0,238.0,91.0,6.0,53.0,208.0,193.0,153.0,3.0,382.0,12.0,8.0,1.0,34.0,23.0,7.0,0.26502732,2022.0,1525.0,6082.0,5509.0,1394.0,842.0,298.0,11.0,243.0,789.0,753.0,470.0,13.0,1498.0,66.0,36.0,1.0,103.0,87.0,31.0,0.25304048,0.31738201,0.44345616,0.76083817,0.19041568,SunTrust Park,Atlanta,GA,20170414.0,NL,Y,33.89127,-84.4681,981.0
2022.0,BAL,1500.0,4339.0,3888.0,936.0,584.0,210.0,17.0,125.0,520.0,492.0,338.0,8.0,959.0,59.0,38.0,11.0,72.0,75.0,23.0,0.24074074,2022.0,870.0,1710.0,1541.0,345.0,226.0,65.0,8.0,46.0,154.0,147.0,138.0,2.0,431.0,24.0,5.0,1.0,23.0,20.0,8.0,0.2238806,2022.0,1598.0,6049.0,5429.0,1281.0,810.0,275.0,25.0,171.0,674.0,639.0,476.0,10.0,1390.0,83.0,43.0,12.0,95.0,95.0,31.0,0.23595506,0.30509037,0.39031129,0.69540166,0.15435623,Oriole Park at Camden Yards,Baltimore,MD,19920406.0,AL,Y,39.283944,-76.621572,35.0
2022.0,BOS,1500.0,4597.0,4161.0,1062.0,676.0,263.0,9.0,114.0,524.0,504.0,338.0,18.0,1003.0,49.0,39.0,9.0,101.0,46.0,15.0,0.25522711,2022.0,865.0,1547.0,1378.0,365.0,232.0,89.0,3.0,41.0,211.0,200.0,140.0,5.0,370.0,14.0,10.0,4.0,30.0,6.0,5.0,0.26487663,2022.0,1604.0,6144.0,5539.0,1427.0,908.0,352.0,12.0,155.0,735.0,704.0,478.0,23.0,1373.0,63.0,49.0,13.0,131.0,52.0,20.0,0.25762773,0.32109643,0.40946019,0.73055662,0.15183246,Fenway Park,Boston,MA,19120420.0,AL,Y,42.346561,-71.097337,16.0
2022.0,CHC,1515.0,4570.0,4082.0,979.0,646.0,197.0,21.0,115.0,498.0,471.0,389.0,12.0,1089.0,61.0,27.0,10.0,94.0,87.0,29.0,0.23983341,2022.0,810.0,1502.0,1343.0,314.0,192.0,68.0,10.0,44.0,159.0,149.0,118.0,4.0,359.0,23.0,9.0,9.0,36.0,24.0,8.0,0.23380491,2022.0,1659.0,6072.0,5425.0,1293.0,838.0,265.0,31.0,159.0,657.0,620.0,507.0,16.0,1448.0,84.0,36.0,19.0,130.0,111.0,37.0,0.23834101,0.31130205,0.38654378,0.69784583,0.14820277,Wrigley Field,Chicago,IL,19140423.0,NL,Y,41.948314,-87.655397,599.0
2022.0,CHW,1529.0,4780.0,4399.0,1106.0,786.0,204.0,7.0,109.0,519.0,496.0,275.0,5.0,998.0,63.0,29.0,14.0,92.0,50.0,9.0,0.25142078,2022.0,718.0,1343.0,1212.0,329.0,219.0,68.0,2.0,40.0,167.0,158.0,113.0,4.0,271.0,10.0,6.0,2.0,35.0,8.0,1.0,0.27145215,2022.0,1610.0,6123.0,5611.0,1435.0,1005.0,272.0,9.0,149.0,686.0,654.0,388.0,9.0,1269.0,73.0,35.0,16.0,127.0,58.0,10.0,0.25574764,0.3104634,0.38709677,0.69756017,0.13134913,Guarantee Rate Park,Chicago,IL,19910418.0,AL,Y,41.829892,-87.633703,594.0
2022.0,CIN,1507.0,4379.0,3956.0,913.0,622.0,162.0,15.0,114.0,470.0,444.0,321.0,6.0,1044.0,60.0,28.0,8.0,99.0,43.0,23.0,0.23078868,2022.0,819.0,1598.0,1424.0,351.0,233.0,73.0,3.0,42.0,178.0,174.0,131.0,0.0,386.0,32.0,5.0,4.0,28.0,15.0,10.0,0.24648876,2022.0,1633.0,5977.0,5380.0,1264.0,855.0,235.0,18.0,156.0,648.0,618.0,452.0,6.0,1430.0,92.0,33.0,12.0,127.0,58.0,33.0,0.23494424,0.30350848,0.37230483,0.67581331,0.13736059,Great American Ballpark,Cincinnati,OH,20030331.0,NL,Y,39.097213,-84.506483,489.0
2022.0,CLE,1522.0,4584.0,4134.0,1069.0,731.0,209.0,28.0,101.0,543.0,515.0,339.0,26.0,795.0,57.0,39.0,15.0,77.0,92.0,18.0,0.25858732,2022.0,818.0,1579.0,1424.0,341.0,248.0,64.0,3.0,26.0,155.0,147.0,111.0,10.0,327.0,24.0,13.0,7.0,38.0,27.0,9.0,0.23946629,2022.0,1620.0,6163.0,5558.0,1410.0,979.0,273.0,31.0,127.0,698.0,662.0,450.0,36.0,1122.0,81.0,52.0,22.0,115.0,119.0,27.0,0.25368838,0.3160723,0.38251169,0.69858399,0.12882331,Progressive Field,Cleveland,OH,19940404.0,AL,Y,41.496005,-81.685326,673.0
2022.0,COL,1431.0,4141.0,3747.0,917.0,631.0,173.0,17.0,96.0,432.0,414.0,317.0,5.0,933.0,43.0,25.0,8.0,93.0,32.0,17.0,0.24472912,2022.0,879.0,1964.0,1793.0,491.0,314.0,107.0,17.0,53.0,266.0,255.0,136.0,5.0,397.0,18.0,15.0,2.0,46.0,13.0,3.0,0.27384272,2022.0,1550.0,6105.0,5540.0,1408.0,945.0,280.0,34.0,149.0,698.0,669.0,453.0,10.0,1330.0,61.0,40.0,10.0,139.0,45.0,20.0,0.25415162,0.31539219,0.39765343,0.71304562,0.14350181,Coors Field,Denver,CO,19950426.0,NL,Y,39.756175,-104.99413,5197.0
2022.0,DET,1495.0,4338.0,3973.0,869.0,608.0,158.0,21.0,82.0,382.0,360.0,279.0,3.0,1073.0,50.0,29.0,7.0,78.0,40.0,22.0,0.2187264,2022.0,782.0,1532.0,1405.0,371.0,260.0,77.0,6.0,28.0,175.0,170.0,101.0,5.0,340.0,8.0,15.0,3.0,30.0,7.0,2.0,0.26405694,2022.0,1594.0,5870.0,5378.0,1240.0,868.0,235.0,27.0,110.0,557.0,530.0,380.0,8.0,1413.0,58.0,44.0,10.0,108.0,47.0,24.0,0.23056898,0.28634812,0.34566753,0.63201565,0.11509855,Comerica Park,Detroit,MI,20000411.0,AL,Y,42.339063,-83.048627,602.0
